               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045447,            0.065364,            0.016449,              0.6702,             0.60443,             0.68211,             0.44846,            0.041351,            0.038266,            0.010911,              0.0937,              0.0007,              0.0007
                   1,            0.043833,            0.061739,            0.017214,             0.74659,              0.6265,             0.72476,             0.48422,            0.040441,             0.03709,             0.00937,            0.086485,           0.0014851,           0.0014851
                   2,            0.044754,            0.070138,            0.015991,             0.77631,              0.6456,             0.74981,             0.48518,            0.040192,             0.03618,           0.0083069,            0.079254,           0.0022545,           0.0022545
                   3,            0.044041,            0.062046,            0.013606,             0.80232,             0.64895,             0.76159,             0.50166,            0.040233,            0.035922,            0.007563,            0.072008,           0.0030079,           0.0030079
                   4,            0.044533,            0.060826,            0.013251,             0.77493,             0.69579,             0.77763,             0.51053,            0.040084,            0.035191,           0.0068911,            0.064746,           0.0037456,           0.0037456
                   5,            0.045275,            0.056125,            0.013651,             0.77784,             0.71263,             0.79055,             0.49667,            0.042007,            0.033522,           0.0063286,            0.057467,           0.0044673,           0.0044673
                   6,            0.045271,             0.05045,            0.013331,             0.77701,             0.71737,             0.78412,             0.47895,            0.043163,            0.033251,           0.0060913,            0.050173,           0.0051733,           0.0051733
                   7,            0.047739,            0.060108,            0.010306,             0.80132,             0.70606,             0.79385,             0.49112,            0.043233,            0.032674,           0.0055275,            0.042863,           0.0058634,           0.0058634
                   8,             0.04779,            0.058337,            0.012391,             0.78945,             0.73372,             0.81049,             0.48203,            0.045021,            0.032692,           0.0053163,            0.035538,           0.0065377,           0.0065377
                   9,            0.046059,            0.054768,            0.010078,             0.73706,             0.78218,             0.80925,             0.51416,            0.043327,            0.032057,           0.0052351,            0.028196,           0.0071961,           0.0071961
                  10,             0.04805,            0.062379,            0.010216,             0.72597,             0.77636,              0.7977,             0.46869,            0.049423,            0.030616,           0.0051322,            0.020839,           0.0078387,           0.0078387
                  11,            0.048945,            0.054906,           0.0097689,             0.78295,             0.76825,              0.8066,             0.51086,            0.045262,            0.030166,           0.0052065,            0.013465,           0.0084655,           0.0084655
                  12,            0.047947,            0.049697,            0.011756,             0.80806,             0.77278,             0.81833,             0.49913,            0.045118,            0.029702,           0.0051076,            0.008812,            0.008812,            0.008812
