               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045436,            0.065337,            0.016378,             0.67089,             0.60528,             0.68249,             0.44855,            0.041349,            0.038206,            0.010954,              0.0937,              0.0007,              0.0007
                   1,            0.043837,            0.061677,            0.017211,              0.7472,             0.62721,             0.72613,             0.48538,            0.040449,            0.037041,           0.0093996,            0.086485,           0.0014851,           0.0014851
                   2,             0.04476,             0.07007,            0.015963,             0.80472,             0.64779,             0.75176,             0.48662,             0.04016,            0.036183,           0.0083141,            0.079254,           0.0022545,           0.0022545
                   3,            0.044071,            0.062034,            0.013591,             0.78813,             0.66334,             0.76453,              0.5027,            0.040248,            0.035936,           0.0075696,            0.072008,           0.0030079,           0.0030079
                   4,            0.044543,            0.060823,             0.01325,             0.78826,             0.69593,             0.77838,             0.51381,            0.040059,            0.035184,           0.0069069,            0.064746,           0.0037456,           0.0037456
                   5,            0.045209,            0.056155,            0.013688,             0.78376,              0.7092,             0.78959,             0.49903,            0.042265,            0.033434,           0.0063392,            0.057467,           0.0044673,           0.0044673
                   6,            0.045363,            0.050468,            0.013316,              0.7647,             0.73543,             0.78735,             0.46849,             0.04326,            0.033207,            0.006082,            0.050173,           0.0051733,           0.0051733
                   7,            0.047786,            0.060073,             0.01031,             0.80256,             0.70481,             0.80027,             0.48987,            0.043242,            0.032664,           0.0054928,            0.042863,           0.0058634,           0.0058634
                   8,            0.047942,            0.058308,            0.012404,             0.75975,             0.74482,             0.80043,             0.47136,            0.045508,            0.032645,           0.0053033,            0.035538,           0.0065377,           0.0065377
                   9,             0.04636,            0.054652,            0.010053,             0.73937,             0.77492,             0.80536,              0.5104,            0.043387,            0.032238,           0.0053587,            0.028196,           0.0071961,           0.0071961
                  10,            0.048013,            0.062254,            0.010207,             0.73007,             0.77335,             0.79422,             0.48802,            0.046631,            0.030717,           0.0051491,            0.020839,           0.0078387,           0.0078387
                  11,            0.046563,            0.055359,            0.009883,             0.75362,             0.71204,             0.78415,             0.49477,            0.044757,            0.030686,           0.0052331,            0.013465,           0.0084655,           0.0084655
                  12,            0.046808,            0.049552,            0.011727,             0.74195,             0.72214,             0.77531,             0.48445,            0.045143,            0.031432,           0.0056401,            0.008812,            0.008812,            0.008812
                  13,            0.046808,            0.055776,            0.011089,             0.80607,             0.75923,             0.81685,             0.51547,            0.043185,            0.029555,           0.0052116,            0.008812,            0.008812,            0.008812
