               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080446,             0.02793,            0.050638,             0.89009,             0.15185,             0.20501,            0.040419,            0.034407,            0.015054,            0.032013,            0.070625,           0.0032639,           0.0032639
                   1,             0.05513,            0.021875,             0.03758,             0.55242,             0.75574,             0.70269,             0.20417,            0.039917,           0.0089495,            0.020426,             0.04056,           0.0065319,           0.0065319
                   2,            0.058121,            0.015709,            0.024886,             0.62111,             0.69613,             0.79577,             0.41617,            0.040861,           0.0068705,            0.010013,            0.010428,           0.0097339,           0.0097339
                   3,            0.057477,            0.012046,            0.015084,             0.66475,             0.94139,             0.83935,             0.42231,            0.033619,           0.0052548,           0.0045741,            0.009703,            0.009703,            0.009703
                   4,            0.049482,             0.01016,           0.0095208,             0.74864,             0.93344,              0.8364,             0.51958,            0.027354,           0.0053679,           0.0030199,            0.009703,            0.009703,            0.009703
                   5,            0.045707,            0.008919,           0.0068107,             0.74365,             0.99749,             0.88939,              0.5862,            0.022929,           0.0044688,           0.0029865,            0.009604,            0.009604,            0.009604
                   6,            0.040416,           0.0080239,           0.0052436,             0.86295,             0.96624,              0.9568,             0.58971,            0.023279,           0.0036196,           0.0024439,            0.009505,            0.009505,            0.009505
                   7,            0.038115,           0.0079466,           0.0044526,             0.86801,              0.9904,             0.98625,             0.70077,            0.022447,           0.0035574,           0.0021435,            0.009406,            0.009406,            0.009406
                   8,            0.034451,           0.0074002,           0.0041295,             0.99682,                   1,               0.995,             0.75305,            0.018123,           0.0034152,           0.0019795,            0.009307,            0.009307,            0.009307
                   9,            0.034993,           0.0070966,           0.0039621,             0.89482,                   1,             0.97802,             0.67741,            0.018592,           0.0033131,           0.0019951,            0.009208,            0.009208,            0.009208
                  10,            0.034355,           0.0069234,           0.0035821,             0.99451,                   1,               0.995,             0.74048,            0.016241,           0.0031733,           0.0020157,            0.009109,            0.009109,            0.009109
                  11,             0.03235,           0.0074966,           0.0032328,             0.99592,                   1,               0.995,             0.78861,            0.013911,           0.0031028,           0.0018028,             0.00901,             0.00901,             0.00901
                  12,            0.030226,           0.0069038,           0.0029381,             0.99633,                   1,               0.995,             0.72898,             0.01423,           0.0030296,           0.0016446,            0.008911,            0.008911,            0.008911
                  13,            0.029563,           0.0068262,           0.0025658,             0.99742,                   1,               0.995,              0.7734,            0.015004,           0.0030086,           0.0014442,            0.008812,            0.008812,            0.008812
                  14,            0.028536,           0.0068677,           0.0027451,             0.99791,                   1,               0.995,             0.78394,            0.013245,            0.002987,           0.0016107,            0.008713,            0.008713,            0.008713
                  15,            0.027816,           0.0064277,           0.0024848,             0.99798,                   1,               0.995,             0.79292,            0.012744,           0.0027847,           0.0014992,            0.008614,            0.008614,            0.008614
                  16,            0.026113,           0.0061282,           0.0024642,             0.99745,                   1,               0.995,             0.80471,            0.012611,           0.0029024,           0.0013906,            0.008515,            0.008515,            0.008515
                  17,            0.026079,           0.0064632,           0.0024116,             0.99775,                   1,               0.995,              0.8004,            0.012907,           0.0028803,           0.0016042,            0.008416,            0.008416,            0.008416
                  18,            0.026436,           0.0064568,           0.0025009,             0.99819,                   1,               0.995,             0.80444,            0.012825,           0.0028602,           0.0012437,            0.008317,            0.008317,            0.008317
                  19,            0.025848,           0.0061721,           0.0023632,             0.99807,                   1,               0.995,             0.74889,            0.013457,           0.0028828,           0.0014097,            0.008218,            0.008218,            0.008218
                  20,             0.02581,           0.0061439,           0.0021806,              0.9976,                   1,               0.995,             0.79752,            0.012941,           0.0028651,           0.0011777,            0.008119,            0.008119,            0.008119
                  21,            0.024591,           0.0061362,           0.0018822,             0.99787,                   1,               0.995,             0.83609,           0.0096486,           0.0026738,           0.0014746,             0.00802,             0.00802,             0.00802
                  22,            0.025218,           0.0061014,           0.0020425,             0.99781,                   1,               0.995,             0.79067,            0.011222,           0.0026867,           0.0010903,            0.007921,            0.007921,            0.007921
                  23,            0.023535,           0.0056537,           0.0018838,             0.99807,                   1,               0.995,             0.81641,            0.011187,           0.0027049,           0.0011103,            0.007822,            0.007822,            0.007822
                  24,            0.024423,           0.0060042,           0.0020179,              0.9958,                   1,               0.995,             0.81901,            0.011095,           0.0026541,           0.0012289,            0.007723,            0.007723,            0.007723
                  25,            0.024658,            0.006007,           0.0019766,             0.99793,                   1,               0.995,             0.79764,            0.011468,           0.0026661,          0.00098958,            0.007624,            0.007624,            0.007624
                  26,            0.023947,           0.0056628,           0.0019667,             0.99812,                   1,               0.995,              0.8054,            0.010623,           0.0026889,            0.001177,            0.007525,            0.007525,            0.007525
                  27,            0.023341,             0.00586,           0.0018849,             0.99741,                   1,               0.995,             0.80971,            0.010252,           0.0026515,           0.0010472,            0.007426,            0.007426,            0.007426
                  28,            0.022677,           0.0059399,           0.0017786,             0.99768,                   1,               0.995,             0.81821,             0.01012,           0.0025338,          0.00083088,            0.007327,            0.007327,            0.007327
                  29,            0.022703,           0.0057884,           0.0018372,             0.99734,             0.99926,               0.995,             0.81912,            0.010577,            0.002645,           0.0008671,            0.007228,            0.007228,            0.007228
                  30,            0.023125,           0.0056707,           0.0017609,             0.98601,                   1,               0.995,             0.81398,            0.010239,           0.0027085,           0.0020161,            0.007129,            0.007129,            0.007129
                  31,            0.022511,           0.0058418,           0.0015924,             0.99763,                   1,               0.995,             0.80928,            0.010375,           0.0025909,          0.00095261,             0.00703,             0.00703,             0.00703
                  32,            0.021359,           0.0056279,           0.0013163,             0.99821,                   1,               0.995,              0.8172,            0.010706,           0.0025502,           0.0008758,            0.006931,            0.006931,            0.006931
                  33,            0.020641,           0.0056798,           0.0013876,             0.99812,                   1,               0.995,             0.83175,            0.009702,           0.0025013,          0.00080709,            0.006832,            0.006832,            0.006832
                  34,            0.020696,           0.0054965,           0.0013009,             0.99741,                   1,               0.995,             0.84024,           0.0092263,           0.0025488,          0.00082502,            0.006733,            0.006733,            0.006733
                  35,             0.02013,           0.0055131,           0.0013198,             0.99771,                   1,               0.995,             0.83344,           0.0097371,           0.0025648,          0.00082625,            0.006634,            0.006634,            0.006634
                  36,            0.020585,             0.00544,           0.0013269,             0.99695,                   1,               0.995,             0.83272,           0.0099808,           0.0025411,          0.00092874,            0.006535,            0.006535,            0.006535
                  37,            0.019928,           0.0055624,           0.0012351,             0.99836,                   1,               0.995,             0.84472,           0.0094306,           0.0025568,          0.00072043,            0.006436,            0.006436,            0.006436
                  38,            0.019325,           0.0054764,           0.0011527,             0.99841,                   1,               0.995,              0.8395,           0.0091865,           0.0024999,          0.00077431,            0.006337,            0.006337,            0.006337
                  39,            0.019944,           0.0053919,           0.0011621,             0.99809,                   1,               0.995,             0.83553,           0.0094468,           0.0025402,          0.00071095,            0.006238,            0.006238,            0.006238
                  40,             0.01896,           0.0055367,           0.0012203,             0.99725,                   1,               0.995,             0.84038,           0.0089558,           0.0024725,          0.00069022,            0.006139,            0.006139,            0.006139
                  41,            0.018574,           0.0051854,           0.0010936,             0.99828,                   1,               0.995,             0.84322,           0.0088867,           0.0024279,          0.00074194,             0.00604,             0.00604,             0.00604
                  42,            0.019107,           0.0051113,           0.0010932,             0.99801,                   1,               0.995,             0.84685,            0.009647,            0.002505,          0.00069046,            0.005941,            0.005941,            0.005941
                  43,            0.019836,           0.0052568,           0.0011351,             0.99812,                   1,               0.995,             0.81976,           0.0096574,            0.002465,          0.00066453,            0.005842,            0.005842,            0.005842
                  44,            0.020304,           0.0056193,           0.0011706,             0.99788,                   1,               0.995,             0.83021,           0.0093293,           0.0024771,          0.00068397,            0.005743,            0.005743,            0.005743
                  45,            0.019808,           0.0054817,           0.0012587,             0.99799,                   1,               0.995,             0.84483,           0.0095086,           0.0024774,          0.00062452,            0.005644,            0.005644,            0.005644
                  46,            0.018675,           0.0053972,           0.0013915,             0.99799,                   1,               0.995,             0.85112,           0.0085992,           0.0023804,          0.00055239,            0.005545,            0.005545,            0.005545
