               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085857,            0.034299,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097326,                   0,            0.070019,           0.0033313,           0.0033313
                   1,            0.066208,             0.03497,                   0,                   0,                   0,                   0,                   0,                   0,            0.014965,                   0,            0.039887,           0.0065326,           0.0065326
                   2,            0.063404,            0.035309,                   0,                   0,                   0,                   0,                   0,                   0,            0.013489,                   0,           0.0096227,            0.009602,            0.009602
                   3,            0.061788,            0.035912,                   0,                   0,                   0,                   0,                   0,                   0,            0.015391,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.059639,            0.036039,                   0,                   0,                   0,                   0,                   0,                   0,            0.014179,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.058099,            0.035743,                   0,                   0,                   0,                   0,                   0,                   0,            0.012371,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.057334,            0.035626,                   0,                   0,                   0,                   0,                   0,                   0,             0.01646,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.057101,            0.036187,                   0,                   0,                   0,                   0,                   0,                   0,            0.015025,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.056565,            0.035951,                   0,                   0,                   0,                   0,                   0,                   0,            0.014772,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.056462,            0.035797,                   0,                   0,                   0,                   0,                   0,                   0,            0.016568,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.055633,            0.035507,                   0,                   0,                   0,                   0,                   0,                   0,            0.015266,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.05511,            0.035865,                   0,                   0,                   0,                   0,                   0,                   0,            0.016547,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.05556,            0.036336,                   0,                   0,                   0,                   0,                   0,                   0,            0.016677,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.054973,            0.035626,                   0,                   0,                   0,                   0,                   0,                   0,            0.016049,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.054756,            0.035535,                   0,                   0,                   0,                   0,                   0,                   0,             0.01592,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.054899,            0.036126,                   0,                   0,                   0,                   0,                   0,                   0,            0.016147,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.05407,            0.035827,                   0,                   0,                   0,                   0,                   0,                   0,            0.016249,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.054016,            0.035768,                   0,                   0,                   0,                   0,                   0,                   0,            0.016092,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.054012,            0.036029,                   0,                   0,                   0,                   0,                   0,                   0,             0.01672,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.053723,            0.035349,                   0,                   0,                   0,                   0,                   0,                   0,            0.016571,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.05369,            0.036208,                   0,                   0,                   0,                   0,                   0,                   0,            0.016726,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.053866,            0.035489,                   0,                   0,                   0,                   0,                   0,                   0,            0.016686,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.053391,            0.035764,                   0,                   0,                   0,                   0,                   0,                   0,             0.01679,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.053395,            0.036341,                   0,                   0,                   0,                   0,                   0,                   0,            0.016944,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.052992,            0.035967,                   0,                   0,                   0,                   0,                   0,                   0,            0.016709,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.052948,            0.035366,                   0,                   0,                   0,                   0,                   0,                   0,            0.016751,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.052577,            0.035543,                   0,                   0,                   0,                   0,                   0,                   0,            0.016978,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.052539,            0.035613,                   0,                   0,                   0,                   0,                   0,                   0,            0.016999,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.052465,            0.035947,                   0,                   0,                   0,                   0,                   0,                   0,            0.017164,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.051919,            0.035825,                   0,                   0,                   0,                   0,                   0,                   0,            0.017192,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.052446,            0.036009,                   0,                   0,                   0,                   0,                   0,                   0,            0.017331,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.051894,            0.035322,                   0,                   0,                   0,                   0,                   0,                   0,            0.017274,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.051707,            0.035075,                   0,                   0,                   0,                   0,                   0,                   0,            0.017238,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.051906,            0.036124,                   0,                   0,                   0,                   0,                   0,                   0,            0.017251,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.051917,             0.03572,                   0,                   0,                   0,                   0,                   0,                   0,            0.017209,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.051512,            0.035682,                   0,                   0,                   0,                   0,                   0,                   0,            0.017244,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.05093,            0.035089,                   0,                   0,                   0,                   0,                   0,                   0,            0.017249,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.051391,            0.035572,                   0,                   0,                   0,                   0,                   0,                   0,            0.017248,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.050929,            0.034879,                   0,                   0,                   0,                   0,                   0,                   0,            0.017237,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.050431,            0.035143,                   0,                   0,                   0,                   0,                   0,                   0,            0.017268,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.050804,            0.035269,                   0,                   0,                   0,                   0,                   0,                   0,            0.017286,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.050317,            0.035599,                   0,                   0,                   0,                   0,                   0,                   0,            0.017293,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.050444,            0.035648,                   0,                   0,                   0,                   0,                   0,                   0,            0.017295,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.049616,            0.035231,                   0,                   0,                   0,                   0,                   0,                   0,            0.017295,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.050055,            0.035077,                   0,                   0,                   0,                   0,                   0,                   0,            0.017273,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.049601,            0.035216,                   0,                   0,                   0,                   0,                   0,                   0,            0.017275,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.049129,            0.034536,                   0,                   0,                   0,                   0,                   0,                   0,            0.017272,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.049078,            0.034965,                   0,                   0,                   0,                   0,                   0,                   0,            0.017257,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.048883,            0.034941,                   0,                   0,                   0,                   0,                   0,                   0,            0.017245,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.048998,            0.034758,                   0,                   0,                   0,                   0,                   0,                   0,            0.017228,                   0,            0.000496,            0.000496,            0.000496
